 01e49e   3668 TEXT     'imu_MadgwickQuaternionUpdate()'
 0104c8    196 TEXT     'gui_set_bluetooth_item(unsigned char, char*, unsigned char*, char*)'
 01cf4a    196 TEXT     'fc_landing()'
 012d76    194 TEXT     'gui_set_widgets_choose_irqh(unsigned char, unsigned char*)'
 006208    192 TEXT     '__vector_125'
 00933e    190 TEXT     'widget_thermal_gain_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 01c484    190 TEXT     'compass_step()'
 003f9e    190 TEXT     'I2c::IrqRequest()'
 025e92    190 TEXT     'send_cmd(unsigned char, unsigned long)'
 018aae    188 TEXT     'kml_now(char const*)'
 009282    188 TEXT     'widget_thermal_time_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 02fd64    188 TEXT     '__ultoa_invert'
 02635a    188 TEXT     'disk_write'
 026580    186 TEXT     'storage_create_default_dirs(char const*, char const*)'
 01b586    186 TEXT     'airspace_read_ignore_file(FIL*, bool, unsigned char*, char*)'
 00fcae    186 TEXT     'gui_set_audio_item(unsigned char, char*, unsigned char*, char*)'
 005130    186 TEXT     'SCSI_Command_ReadWrite_10(bool)'
 022fa6    186 TEXT     'sync_window(FATFS*) [clone .part.2]'
 0222c2    184 TEXT     'waypoint_task_optimise_itter()'
 00f608    184 TEXT     'gui_set_altimeter_action(unsigned char)'
 015726    184 TEXT     'gui_value_draw_bar()'
 01b640    184 TEXT     'airspace_open_file(char*)'
 006758    184 TEXT     'task_usb_loop()'
 02fe20    182 TEXT     'eeprom_write_block'
 00ffdc    180 TEXT     'gui_set_autoset_config_item(unsigned char, char*, unsigned char*, char*)'
 02a5cc    180 TEXT     'pan1322::CreateService(char const*, char const*, unsigned char, char const*)'
 016d4e    178 TEXT     'gui_pages_select_irqh(unsigned char, unsigned char*)'
 028b92    174 TEXT     'bt_irqh(unsigned char, unsigned char*)'
 006a60    174 TEXT     '__vector_22'
 008e20    172 TEXT     'widget_nav_time_draw(char const*, unsigned int, unsigned char, unsigned char, unsigned char, unsigned char)'
 00c6e4    166 TEXT     'gui_compass_calib_item(unsigned char, char*, unsigned char*, char*)'
 007fa4    166 TEXT     'widget_battery_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 011940    166 TEXT     'gui_home_action(unsigned char)'
 01a78a    166 TEXT     'agl_get_alt(long, long)'
 02deec    164 TEXT     'atoi_n(char*, unsigned char)'
 014ab0    164 TEXT     'gui_filemanager_action(unsigned char)'
 01e2c0    164 TEXT     'gyro_load_calibration(vector_float_t volatile*)'
 00b8b2    164 TEXT     'widget_wdir_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 021a18    162 TEXT     'waypoint_task_remove_wpt(unsigned char)'
 004518    162 TEXT     'Timer::EnableInterrupts(unsigned char)'
 01a904    160 TEXT     'airspace_class_to_text(char*, unsigned char)'
 00977a    160 TEXT     'widget_time_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0084a4    160 TEXT     'widget_ghdg_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 022e88    160 TEXT     'get_fileinfo(DIR*, FILINFO*)'
 02f39c    160 TEXT     'log'
 0218a8    158 TEXT     'waypoint_task_add_wpt(waypoint_cache_t*)'
 02c776    158 TEXT     'lcd_display::DrawRectangle(signed char, signed char, signed char, signed char, unsigned char, unsigned char)'
 025b9e    156 TEXT     'f_gets(char*, int, FIL*)'
 0214d0    156 TEXT     'waypoint_list_get_wpt(unsigned char, waypoint_cache_t*)'
 02142e    156 TEXT     'waypoint_list_open(char*)'
 02156c    154 TEXT     'waypoint_task_open_handle(FIL*, unsigned char, bool)'
 01c822    154 TEXT     'cfg_restore_defaults()'
 005ad0    154 TEXT     'Endpoint_Write_Stream_LE'
 005b6a    154 TEXT     'Endpoint_Read_Stream_LE'
 008262    152 TEXT     'widget_ctrl_audio_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00b04e    152 TEXT     'widgets_draw(unsigned char)'
 02f140    152 TEXT     'pow'
 025252    150 TEXT     'f_readdir(DIR*, FILINFO*)'
 003b6c    150 TEXT     'AdcAInit(xlib_core_adc_reference_e)'
 02da1a    150 TEXT     'GetID()'
 01d36c    150 TEXT     'fc_sync_gps_time()'
 01332e    150 TEXT     'gui_dialog(char*)'
 02cba8    150 TEXT     'lcd_display::CopyToLayerXPart(unsigned char, signed char, unsigned char, unsigned char)'
 02291a    148 TEXT     'waypoint_task_optimise_step()'
 003ed6    148 TEXT     'I2c::InitMaster(TWI_struct*, unsigned char, unsigned long, RingBufferSmall*, RingBufferSmall*)'
 024d4e    146 TEXT     'f_sync(FIL*)'
 011228    146 TEXT     'gui_set_layout_irqh(unsigned char, unsigned char*)'
 0043fe    146 TEXT     'Timer::EnableOutputs(unsigned char)'
 0243a4    146 TEXT     'dir_register(DIR*)'
 02f604    146 TEXT     '__muldi3'
 0262c8    146 TEXT     'disk_read'
 00d0f6    144 TEXT     'gui_mag_calc_bar(int, int, int)'
 0192ea    144 TEXT     'logger_step()'
 006eb8    142 TEXT     'widget_acc_total_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00804a    142 TEXT     'widget_compass_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 02d428    142 TEXT     'time_from_epoch(unsigned long, unsigned char*, unsigned char*, unsigned char*)'
 016e78    142 TEXT     'gui_pages_irqh(unsigned char, unsigned char*)'
 01a326    142 TEXT     'agl_open_file(char*)'
 01e234    140 TEXT     'gyro_save_calibration(vector_float_t volatile*)'
 013438    140 TEXT     'gui_load_eeprom()'
 018154    140 TEXT     'igc_writeline(char*, bool)'
 0165da    140 TEXT     'page_switch(bool)'
 02f22c    140 TEXT     'sqrt'
 01b6f8    138 TEXT     'airspace_read_pos(long, long)'
 027f42    138 TEXT     'Lsm303d::ReadMag(int volatile*, int volatile*, int volatile*)'
 00413c    136 TEXT     'RtcInit(xlib_core_rtc_source_e, xlib_core_rtc_prescaler_e)'
 0087d4    136 TEXT     'widget_home_info_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 009058    136 TEXT     'widget_direction_draw(char const*, int, unsigned char, unsigned char, unsigned char, unsigned char)'
 02049e    136 TEXT     'navigation_init()'
 026978    136 TEXT     'mems_i2c_init()'
 018a26    136 TEXT     'kml_sprintf_P(char const*, ...)'
 02b602    136 TEXT     'battery_init()'
 020a16    136 TEXT     'vario_init()'
 02c8d8    136 TEXT     'lcd_display::plot4points(unsigned char, unsigned char, unsigned char, unsigned char, unsigned char)'
 00874e    134 TEXT     'widget_ghdg_dir_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 004680    134 TEXT     'Usart::SetupRxDMA(DMA_CH_struct*, unsigned char)'
 00609e    134 TEXT     'Endpoint_WaitUntilReady'
 005a4a    134 TEXT     'Endpoint_Null_Stream'
 02ea48    134 TEXT     'atan2'
 00bb26    132 TEXT     'widget_wdir_points_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0086cc    130 TEXT     'widget_ghdg_arrow_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 006bbe    130 TEXT     'task_timer_setup(bool)'
 00a768    130 TEXT     'widget_label_P(char const*, unsigned char, unsigned char)'
 00a7ea    130 TEXT     'widget_label(char*, unsigned char, unsigned char)'
 01d00e    128 TEXT     'fc_deinit()'
 024518    128 TEXT     'f_mount(FATFS*, char const*, unsigned char)'
 008cbc    128 TEXT     'widget_distance_draw(char const*, float, unsigned char, unsigned char, unsigned char, unsigned char)'
 00fdac    128 TEXT     'gui_set_autoset_item(unsigned char, char*, unsigned char*, char*)'
 017ff4    128 TEXT     'protocol_generic_rx(unsigned char)'
 0130bc    128 TEXT     'gui_raligh_text(char*, unsigned char, unsigned char)'
 02acb2    128 TEXT     'seq_next_tone()'
 02cb28    128 TEXT     'lcd_display::CopyToLayerX(unsigned char, signed char)'
 028916    126 TEXT     'bt_init()'
 02bed0    126 TEXT     'buttons_step()'
 027c46    126 TEXT     'Lsm303d::Init(I2c*, lsm303d_settings)'
 008650    124 TEXT     'widget_gpos_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 004a64    124 TEXT     'Usart::Write(unsigned char)'
 02ed24    124 TEXT     '__floatundisf'
 02d6ac    122 TEXT     'time_init()'
 00a2fe    122 TEXT     'clamp(float, unsigned char)'
 02c248    122 TEXT     'lcd_display::PutPixel(signed char, signed char, unsigned char)'
 02c814    122 TEXT     'lcd_display::Invert(signed char, signed char, signed char, signed char)'
 025d60    122 TEXT     'rcvr_datablock(unsigned char*, unsigned int)'
 02ecaa    122 TEXT     '__floatunsisf'
 0252e8    120 TEXT     'f_stat(char const*, FILINFO*)'
 00562a    120 TEXT     'SDCardManager_ReadBlockHandler(unsigned char*, unsigned long long, void*)'
 01058c    120 TEXT     'gui_set_bluetooth_action(unsigned char)'
 00afc0    120 TEXT     'layout_get_widget_rect(unsigned char, unsigned char, unsigned char*, unsigned char*, unsigned char*, unsigned char*)'
 016e00    120 TEXT     'gui_page_menu_irqh(unsigned char, unsigned char*)'
 02fb8a    120 TEXT     'fputc'
 0054ce    118 TEXT     'SDCardManager_WriteBlockHandler(unsigned char*, unsigned long long, void*)'
 00f71a    118 TEXT     'gui_set_altimeters_qnh1_cb(float)'
 0268a8    118 TEXT     'storage_dir_list(char*, unsigned char*)'
 01a88e    118 TEXT     'airspace_init()'
 023148    116 TEXT     'move_window(FATFS*, unsigned long)'
 02f32a    116 TEXT     'ldexp'
 02ebcc    116 TEXT     '__fixsfdi'
 02f2c0    116 TEXT     'exp'
 02bc9c    114 TEXT     'buttons_init()'
 01ced8    114 TEXT     'fc_end_hike()'
