 01d90e   3668 TEXT     'imu_MadgwickQuaternionUpdate()'
 00ffbe    550 TEXT     'gui_set_autostart_action(unsigned char)'
 00d550    550 TEXT     'gui_task_editor_action(unsigned char)'
 005670    548 TEXT     'MassStorage_Task()'
 01b112    544 TEXT     'circling_step()'
 010d10    542 TEXT     'gui_set_gps_detail_loop()'
 018884    532 TEXT     'kml_start(char*)'
 02b732    530 TEXT     'lcd_display::Write(unsigned char)'
 00c90e    524 TEXT     'gui_flightdetail_parse_logfile(char const*)'
 00db4e    514 TEXT     'gui_task_settings_action(unsigned char)'
 018de8    514 TEXT     'logger_start()'
 002d52    509 TEXT     'font_arial_ttf_10'
 02331e    506 TEXT     'dir_next(DIR*, int)'
 011a7c    502 TEXT     'gui_set_time_action(unsigned char)'
 024e1a    500 TEXT     'f_rename(char const*, char const*)'
 00a7e0    498 TEXT     'widget_value_int_sub(char*, char*, unsigned char, unsigned char, unsigned char, unsigned char)'
 01ed00    498 TEXT     'KalmanFilter::update(float)'
 02554a    494 TEXT     'disk_initialize'
 01f186    488 TEXT     'mag_calc_vector()'
 00d036    486 TEXT     'gui_mag_calib_loop()'
 0247d0    476 TEXT     'f_getfree(char const*, unsigned long*, FATFS**)'
 015870    470 TEXT     'gui_value_system_date_irqh(unsigned char, unsigned char*)'
 011ec8    466 TEXT     'gui_set_vario_action(unsigned char)'
 00f932    458 TEXT     'gui_set_audio_action(unsigned char)'
 020b4e    458 TEXT     'waypoint_task_open(char*)'
 018522    444 TEXT     'igc_step()'
 023166    440 TEXT     'create_chain(FATFS*, unsigned long)'
 013b7e    436 TEXT     'gui_airspace_loop()'
 026934    432 TEXT     'gps_parse(Usart*)'
 02ecc6    432 TEXT     '__ftoa_engine'
 02b196    426 TEXT     'button_handle(unsigned char, unsigned char)'
 02c926    422 TEXT     'datetime_from_epoch(unsigned long, unsigned char*, unsigned char*, unsigned char*, unsigned char*, unsigned char*, unsigned char*, unsigned int*)'
 01c068    422 TEXT     '__vector_18'
 02ab8a    416 TEXT     'battery_finish_calibration()'
 00aac8    414 TEXT     'widget_value_txt2(char*, char*, unsigned char, unsigned char, unsigned char, unsigned char)'
 01f36e    414 TEXT     'gps_get_kx_ky(float, float*, float*)'
 028a6c    414 TEXT     'pan1026::SendString()'
 009968    410 TEXT     'widget_hike_mode_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00471a    408 TEXT     'Usart::Init(USART_struct*, PORT_struct*, unsigned char, unsigned char, unsigned long)'
 00ac66    402 TEXT     'widget_value_scroll(char*, unsigned char, unsigned char, unsigned char, unsigned char)'
 022c00    400 TEXT     'get_fat(FATFS*, unsigned long)'
 026ae4    392 TEXT     'gps_start()'
 810680    391     DATA 'config_ro'
 0288b0    390 TEXT     'pan1026::Parse(unsigned char)'
 02a416    388 TEXT     'audio_vario_apply()'
 025aaa    388 TEXT     'storage_init()'
 011c72    386 TEXT     'gui_set_time_item(unsigned char, char*, unsigned char*, char*)'
 01c872    386 TEXT     'fc_active_alarm()'
 00e86e    384 TEXT     'gui_set_airspaces_action(unsigned char)'
 0111a4    384 TEXT     'gui_set_logger_action(unsigned char)'
 015b70    382 TEXT     'gui_value_irqh(unsigned char, unsigned char*)'
 0183a8    378 TEXT     'igc_pre_step()'
 00378b    371 TEXT     'font_6px_normal_ttf_8'
 021c1c    366 TEXT     'waypoint_task_calc_distance()'
 02721e    364 TEXT     'Lsm303d::ReadAccStreamAvg(int volatile*, int volatile*, int volatile*, unsigned char)'
 026e58    364 TEXT     'L3gd20::ReadGyroStreamAvg(int volatile*, int volatile*, int volatile*, unsigned char)'
 02c3f2    364 TEXT     '__vector_83'
 02ba64    362 TEXT     'lcd_display::DrawImage(unsigned char const*, unsigned char, unsigned char, unsigned char, unsigned char)'
 00b24a    358 TEXT     'widget_deg_to_points(float, char*)'
 00dd50    354 TEXT     'gui_task_settings_item(unsigned char, char*, unsigned char*, char*)'
 027e30    348 TEXT     'bt_step()'
 00636a    346 TEXT     'task_usb_init()'
 028292    346 TEXT     'pan1026::ParseMNG()'
 022d90    344 TEXT     'dir_sdi(DIR*, unsigned int)'
 02ad3e    342 TEXT     'battery_calibration_step()'
 0284b4    340 TEXT     'pan1026::ParseMNG_LE()'
 00f5de    330 TEXT     'gui_set_altimeters_action(unsigned char)'
 00e32c    330 TEXT     'gui_layouts_action(unsigned char)'
 025886    328 TEXT     'disk_ioctl'
 02c752    326 TEXT     'datetime_to_epoch(unsigned char, unsigned char, unsigned char, unsigned char, unsigned char, unsigned int)'
 029d7c    322 TEXT     'pan1322::Step()'
 01562c    320 TEXT     'gui_value_number_irqh(unsigned char, unsigned char*)'
 01209a    320 TEXT     'gui_set_vario_item(unsigned char, char*, unsigned char*, char*)'
 01be16    320 TEXT     '__vector_16'
 01c20e    314 TEXT     'fc_save_stats()'
 0210ba    312 TEXT     'waypoint_task_optimise_init()'
 0074ee    310 TEXT     'widget_alt_draw(unsigned char, unsigned char, unsigned char, unsigned char, unsigned char)'
 00c3fe    308 TEXT     'gui_compass_calib_action(unsigned char)'
 00f218    306 TEXT     'gui_set_altimeter_item(unsigned char, char*, unsigned char*, char*)'
 01f04a    306 TEXT     'mag_load_calibration(vector_float_t volatile*, vector_float_t volatile*)'
 019354    306 TEXT     'acc_load_calibration(vector_float_t volatile*, vector_float_t volatile*)'
 00defe    298 TEXT     'gui_waypoint_editor_action(unsigned char)'
 015a46    298 TEXT     'gui_value_time_irqh(unsigned char, unsigned char*)'
 00a480    298 TEXT     'sprintf_distance(char*, char*, float)'
 00fd02    296 TEXT     'gui_set_autoset_config_action(unsigned char)'
 003aa8    296 TEXT     'ClockSetSource(xlib_core_clock_source_e)'
 00a6ba    294 TEXT     'widget_value_int(char*, unsigned char, unsigned char, unsigned char, unsigned char)'
 01cb4e    292 TEXT     'fc_takeoff()'
 02c55e    290 TEXT     'led_init()'
 020f2a    290 TEXT     'waypoint_task_opti_angle(opti_waypoint_cache_t*, float)'
 0101e4    290 TEXT     'gui_set_autostart_item(unsigned char, char*, unsigned char*, char*)'
 021612    288 TEXT     'waypoint_task_optimise_get_cache_wpt(unsigned char, opti_waypoint_cache_t**)'
 015454    288 TEXT     'gui_value_conf_P(char const*, unsigned char, char const*, float, float, float, float, void (*)(float), float)'
 00e56e    286 TEXT     'gui_set_advanced_action(unsigned char)'
 024ab2    284 TEXT     'f_unlink(char const*)'
 01957a    282 TEXT     'acc_calc_total()'
 02d432    280 TEXT     'atoi_f(char*)'
 0081da    280 TEXT     'widget_glide_ratio(unsigned char, unsigned char, unsigned char, unsigned char)'
 02cfa6    280 TEXT     'LoadEEPROM()'
 02b478    280 TEXT     'lcd_display::GetTextWidth(char*, unsigned int)'
 02a1f6    278 TEXT     'get_near(float, unsigned int volatile*)'
 00f728    278 TEXT     'gui_set_altimeters_item(unsigned char, char*, unsigned char*, char*)'
 00e9ee    278 TEXT     'gui_set_airspaces_item(unsigned char, char*, unsigned char*, char*)'
 011852    278 TEXT     'gui_set_system_item(unsigned char, char*, unsigned char*, char*)'
 010838    274 TEXT     'gui_set_display_item(unsigned char, char*, unsigned char*, char*)'
 01bb22    274 TEXT     'cfg_check_floats()'
 006f68    274 TEXT     'widget_agl_irqh(unsigned char, unsigned char*)'
 01f50c    274 TEXT     'gps_destination(float, float, float, float, float*, float*)'
 01bf56    274 TEXT     '__vector_17'
 015344    272 TEXT     'gui_text_irqh(unsigned char, unsigned char*)'
 017b92    270 TEXT     'protocol_lk8ex1_step()'
 008fc4    268 TEXT     'widget_temperature_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00b7a4    268 TEXT     'widget_wspd_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 008392    268 TEXT     'widget_gspd_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 025430    268 TEXT     'get_fattime()'
 006d94    266 TEXT     'widget_agl_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 02be8e    266 TEXT     'lcd_display::Draw()'
 02a30c    266 TEXT     '__vector_47'
 009c76    264 TEXT     'widget_avg_vario_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 009b6e    264 TEXT     'widget_vario_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 01095a    262 TEXT     'gui_set_gps_action(unsigned char)'
 0249ac    262 TEXT     'f_truncate(FIL*)'
 01576c    260 TEXT     'gui_value_system_time_irqh(unsigned char, unsigned char*)'
 00d44c    260 TEXT     'gui_task_editor_name_cb(unsigned char, char*)'
 01915e    260 TEXT     'acc_widget_filter()'
 017cf8    254 TEXT     'protocol_digifly_step()'
 013062    254 TEXT     'gui_fit_text(char*, char*, unsigned char)'
 026704    252 TEXT     'gps_parse_gsa()'
 018c0c    252 TEXT     'logger_init()'
 005b4a    252 TEXT     'Endpoint_Write_Control_PStream_LE'
 018a98    248 TEXT     'kml_step()'
 005a52    248 TEXT     'Endpoint_Write_Control_Stream_LE'
 00e68c    246 TEXT     'gui_set_advanced_item(unsigned char, char*, unsigned char*, char*)'
 01ff0e    246 TEXT     'vario_get_altitude(unsigned char, unsigned char)'
 00a9d2    246 TEXT     'widget_value_txt(char*, unsigned char, unsigned char, unsigned char, unsigned char)'
 010f82    244 TEXT     'gui_set_layout_loop()'
 026610    244 TEXT     'gps_parse_gga()'
 0245b8    242 TEXT     'f_opendir(DIR*, char const*)'
 01ef58    242 TEXT     'mag_save_calibration(vector_float_t, vector_float_t)'
 012ad2    242 TEXT     'gui_set_widgets_loop()'
 019262    242 TEXT     'acc_save_calibration(vector_float_t, vector_float_t)'
 021eec    240 TEXT     'waypoint_task_mode()'
 01373a    236 TEXT     'gui_irqh(unsigned char, unsigned char*)'
 00e1b4    236 TEXT     'gui_waypoint_list_action(unsigned char)'
 006b06    236 TEXT     'task_sleep()'
 006c16    234 TEXT     'task_system_loop()'
 01d7da    234 TEXT     'gyro_calc_vector()'
 016d5a    234 TEXT     'gui_splash_init()'
 00ba66    232 TEXT     'acc_calib_get_value(unsigned char, int)'
 02d0be    232 TEXT     'StoreEEPROM()'
 00c2c0    230 TEXT     'gui_accelerometer_calib_irqh(unsigned char, unsigned char*)'
 005392    230 TEXT     'SDCardManager_WriteBlocks(unsigned long, unsigned int)'
 00e028    230 TEXT     'gui_waypoint_editor_item(unsigned char, char*, unsigned char*, char*)'
 013d32    228 TEXT     'gui_airspace_irqh(unsigned char, unsigned char*)'
 0281ae    228 TEXT     'pan1026::ParseHCI()'
 00ce4a    226 TEXT     'gui_gyro_calib_irqh(unsigned char, unsigned char*)'
 0196b4    226 TEXT     'agl_get_filename(char*, long, long)'
 01d5c2    226 TEXT     'fc_log_battery()'
 0064c4    226 TEXT     'task_usb_stop()'
 0238a6    226 TEXT     'remove_chain(FATFS*, unsigned long)'
 01bd34    226 TEXT     '__vector_14'
 01ac3c    224 TEXT     'airspace_write_ignore_file(FIL*, bool, unsigned char*, char*)'
 018d08    224 TEXT     'logger_next_flight()'
 026800    220 TEXT     'gps_parse_gsv()'
 02b944    220 TEXT     'lcd_display::DrawLine(signed char, signed char, signed char, signed char, unsigned char)'
 0224dc    220 TEXT     'sync_fs(FATFS*)'
 02df86    220 TEXT     '__divsf3x'
 0054f0    216 TEXT     'SDCardManager_ReadBlocks(unsigned long, unsigned int)'
 011684    216 TEXT     'gui_home_item(unsigned char, char*, unsigned char*, char*)'
 02c17c    216 TEXT     'lcd_display::Init(Spi*)'
 0036b3    216 TEXT     'font_arial_bold_ttf_16'
 013a66    214 TEXT     'gui_airspace_ignore_cb(unsigned char)'
 0194a4    214 TEXT     'acc_calc_vector()'
 011968    212 TEXT     'gui_set_system_action(unsigned char)'
 0250aa    212 TEXT     'f_delete_node(char*, unsigned int)'
 01621c    210 TEXT     'gui_pages_set_time_cb(unsigned char)'
 00498c    210 TEXT     'Usart::BecomeSPI(unsigned char, unsigned char, unsigned long)'
 02c2c8    210 TEXT     '__vector_53'
 02e502    210 TEXT     '__mulsf3x'
 02ccbc    208 TEXT     'uart_init()'
 01722c    208 TEXT     'gui_update_fail(unsigned int)'
 021544    206 TEXT     'waypoint_task_optimise_store_cache_wpt(unsigned char)'
 009668    206 TEXT     'widget_date_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 017302    206 TEXT     'gui_update_bar()'
 0275bc    206 TEXT     'MS5611::CompensateTemperature()'
 014258    204 TEXT     'gui_dialog_set(char*, char*, unsigned char, void (*)(unsigned char))'
 02ddc6    204 TEXT     '__addsf3x'
 006e9e    202 TEXT     'widget_gl_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0283ec    200 TEXT     'pan1026::ParseSPP()'
 008de0    198 TEXT     'widget_waypoint_time_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 007fea    198 TEXT     'widget_ctrl_wlift_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 008d1a    198 TEXT     'widget_home_time_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00e476    198 TEXT     'gui_layouts_item(unsigned char, char*, unsigned char*, char*)'
 012df0    198 TEXT     'gui_showmessage(char*)'
 00b8b0    196 TEXT     'widget_wdir_arrow_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 010316    196 TEXT     'gui_set_bluetooth_item(unsigned char, char*, unsigned char*, char*)'
 01c3ba    196 TEXT     'fc_landing()'
 012bc4    194 TEXT     'gui_set_widgets_choose_irqh(unsigned char, unsigned char*)'
 006056    192 TEXT     '__vector_125'
 00918c    190 TEXT     'widget_thermal_gain_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 01b8f4    190 TEXT     'compass_step()'
 003dec    190 TEXT     'I2c::IrqRequest()'
 025302    190 TEXT     'send_cmd(unsigned char, unsigned long)'
 0187c8    188 TEXT     'kml_now(char const*)'
 0090d0    188 TEXT     'widget_thermal_time_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 02f1be    188 TEXT     '__ultoa_invert'
 0257ca    188 TEXT     'disk_write'
 0259f0    186 TEXT     'storage_create_default_dirs(char const*, char const*)'
 01a9f6    186 TEXT     'airspace_read_ignore_file(FIL*, bool, unsigned char*, char*)'
 00fafc    186 TEXT     'gui_set_audio_item(unsigned char, char*, unsigned char*, char*)'
 004f7e    186 TEXT     'SCSI_Command_ReadWrite_10(bool)'
 022416    186 TEXT     'sync_window(FATFS*) [clone .part.2]'
 021732    184 TEXT     'waypoint_task_optimise_itter()'
 00f456    184 TEXT     'gui_set_altimeter_action(unsigned char)'
 015574    184 TEXT     'gui_value_draw_bar()'
 01aab0    184 TEXT     'airspace_open_file(char*)'
 0065a6    184 TEXT     'task_usb_loop()'
 02f27a    182 TEXT     'eeprom_write_block'
 00fe2a    180 TEXT     'gui_set_autoset_config_item(unsigned char, char*, unsigned char*, char*)'
 029a3c    180 TEXT     'pan1322::CreateService(char const*, char const*, unsigned char, char const*)'
 016b9c    178 TEXT     'gui_pages_select_irqh(unsigned char, unsigned char*)'
 028002    174 TEXT     'bt_irqh(unsigned char, unsigned char*)'
 0068ae    174 TEXT     '__vector_22'
 008c6e    172 TEXT     'widget_nav_time_draw(char const*, unsigned int, unsigned char, unsigned char, unsigned char, unsigned char)'
 00c532    166 TEXT     'gui_compass_calib_item(unsigned char, char*, unsigned char*, char*)'
 007df2    166 TEXT     'widget_battery_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 01178e    166 TEXT     'gui_home_action(unsigned char)'
 019bfa    166 TEXT     'agl_get_alt(long, long)'
 02d35c    164 TEXT     'atoi_n(char*, unsigned char)'
 0148fe    164 TEXT     'gui_filemanager_action(unsigned char)'
 01d730    164 TEXT     'gyro_load_calibration(vector_float_t volatile*)'
 00b700    164 TEXT     'widget_wdir_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 020e88    162 TEXT     'waypoint_task_remove_wpt(unsigned char)'
 004366    162 TEXT     'Timer::EnableInterrupts(unsigned char)'
 019d74    160 TEXT     'airspace_class_to_text(char*, unsigned char)'
 0095c8    160 TEXT     'widget_time_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0082f2    160 TEXT     'widget_ghdg_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0222f8    160 TEXT     'get_fileinfo(DIR*, FILINFO*)'
 02e80c    160 TEXT     'log'
 020d18    158 TEXT     'waypoint_task_add_wpt(waypoint_cache_t*)'
 02bbe6    158 TEXT     'lcd_display::DrawRectangle(signed char, signed char, signed char, signed char, unsigned char, unsigned char)'
 02500e    156 TEXT     'f_gets(char*, int, FIL*)'
 020940    156 TEXT     'waypoint_list_get_wpt(unsigned char, waypoint_cache_t*)'
 02089e    156 TEXT     'waypoint_list_open(char*)'
 0209dc    154 TEXT     'waypoint_task_open_handle(FIL*, unsigned char, bool)'
 01bc92    154 TEXT     'cfg_restore_defaults()'
 00591e    154 TEXT     'Endpoint_Write_Stream_LE'
 0059b8    154 TEXT     'Endpoint_Read_Stream_LE'
 0080b0    152 TEXT     'widget_ctrl_audio_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00ae9c    152 TEXT     'widgets_draw(unsigned char)'
 02e5b0    152 TEXT     'pow'
 0246c2    150 TEXT     'f_readdir(DIR*, FILINFO*)'
 0039ba    150 TEXT     'AdcAInit(xlib_core_adc_reference_e)'
 02ce8a    150 TEXT     'GetID()'
 01c7dc    150 TEXT     'fc_sync_gps_time()'
 01317c    150 TEXT     'gui_dialog(char*)'
 02c018    150 TEXT     'lcd_display::CopyToLayerXPart(unsigned char, signed char, unsigned char, unsigned char)'
 021d8a    148 TEXT     'waypoint_task_optimise_step()'
 003d24    148 TEXT     'I2c::InitMaster(TWI_struct*, unsigned char, unsigned long, RingBufferSmall*, RingBufferSmall*)'
 0241be    146 TEXT     'f_sync(FIL*)'
 011076    146 TEXT     'gui_set_layout_irqh(unsigned char, unsigned char*)'
 00424c    146 TEXT     'Timer::EnableOutputs(unsigned char)'
 023814    146 TEXT     'dir_register(DIR*)'
 02ea74    146 TEXT     '__muldi3'
 025738    146 TEXT     'disk_read'
 00cf44    144 TEXT     'gui_mag_calc_bar(int, int, int)'
 019004    144 TEXT     'logger_step()'
 006d06    142 TEXT     'widget_acc_total_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 007e98    142 TEXT     'widget_compass_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 02c898    142 TEXT     'time_from_epoch(unsigned long, unsigned char*, unsigned char*, unsigned char*)'
 016cc6    142 TEXT     'gui_pages_irqh(unsigned char, unsigned char*)'
 019796    142 TEXT     'agl_open_file(char*)'
 01d6a4    140 TEXT     'gyro_save_calibration(vector_float_t volatile*)'
 013286    140 TEXT     'gui_load_eeprom()'
 016428    140 TEXT     'page_switch(bool)'
 02e69c    140 TEXT     'sqrt'
 01ab68    138 TEXT     'airspace_read_pos(long, long)'
 0273b2    138 TEXT     'Lsm303d::ReadMag(int volatile*, int volatile*, int volatile*)'
 003f8a    136 TEXT     'RtcInit(xlib_core_rtc_source_e, xlib_core_rtc_prescaler_e)'
 008622    136 TEXT     'widget_home_info_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 008ea6    136 TEXT     'widget_direction_draw(char const*, int, unsigned char, unsigned char, unsigned char, unsigned char)'
 01f90e    136 TEXT     'navigation_init()'
 025de8    136 TEXT     'mems_i2c_init()'
 018740    136 TEXT     'kml_sprintf_P(char const*, ...)'
 02aa72    136 TEXT     'battery_init()'
 01fe86    136 TEXT     'vario_init()'
 02bd48    136 TEXT     'lcd_display::plot4points(unsigned char, unsigned char, unsigned char, unsigned char, unsigned char)'
 00859c    134 TEXT     'widget_ghdg_dir_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0044ce    134 TEXT     'Usart::SetupRxDMA(DMA_CH_struct*, unsigned char)'
 005eec    134 TEXT     'Endpoint_WaitUntilReady'
 005898    134 TEXT     'Endpoint_Null_Stream'
 02deb8    134 TEXT     'atan2'
 00b974    132 TEXT     'widget_wdir_points_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 00851a    130 TEXT     'widget_ghdg_arrow_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 006a0c    130 TEXT     'task_timer_setup(bool)'
 00a5b6    130 TEXT     'widget_label_P(char const*, unsigned char, unsigned char)'
 00a638    130 TEXT     'widget_label(char*, unsigned char, unsigned char)'
 01c47e    128 TEXT     'fc_deinit()'
 023988    128 TEXT     'f_mount(FATFS*, char const*, unsigned char)'
 008b0a    128 TEXT     'widget_distance_draw(char const*, float, unsigned char, unsigned char, unsigned char, unsigned char)'
 00fbfa    128 TEXT     'gui_set_autoset_item(unsigned char, char*, unsigned char*, char*)'
 017e42    128 TEXT     'protocol_generic_rx(unsigned char)'
 012f0a    128 TEXT     'gui_raligh_text(char*, unsigned char, unsigned char)'
 02a122    128 TEXT     'seq_next_tone()'
 02bf98    128 TEXT     'lcd_display::CopyToLayerX(unsigned char, signed char)'
 027d86    126 TEXT     'bt_init()'
 02b340    126 TEXT     'buttons_step()'
 0270b6    126 TEXT     'Lsm303d::Init(I2c*, lsm303d_settings)'
 00849e    124 TEXT     'widget_gpos_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0048b2    124 TEXT     'Usart::Write(unsigned char)'
 02e194    124 TEXT     '__floatundisf'
 02cb1c    122 TEXT     'time_init()'
 00a14c    122 TEXT     'clamp(float, unsigned char)'
 02b6b8    122 TEXT     'lcd_display::PutPixel(signed char, signed char, unsigned char)'
 02bc84    122 TEXT     'lcd_display::Invert(signed char, signed char, signed char, signed char)'
 0251d0    122 TEXT     'rcvr_datablock(unsigned char*, unsigned int)'
 02e11a    122 TEXT     '__floatunsisf'
 024758    120 TEXT     'f_stat(char const*, FILINFO*)'
 005478    120 TEXT     'SDCardManager_ReadBlockHandler(unsigned char*, unsigned long long, void*)'
 0103da    120 TEXT     'gui_set_bluetooth_action(unsigned char)'
 00ae0e    120 TEXT     'layout_get_widget_rect(unsigned char, unsigned char, unsigned char*, unsigned char*, unsigned char*, unsigned char*)'
 016c4e    120 TEXT     'gui_page_menu_irqh(unsigned char, unsigned char*)'
 02efe4    120 TEXT     'fputc'
 00531c    118 TEXT     'SDCardManager_WriteBlockHandler(unsigned char*, unsigned long long, void*)'
 00f568    118 TEXT     'gui_set_altimeters_qnh1_cb(float)'
 025d18    118 TEXT     'storage_dir_list(char*, unsigned char*)'
 019cfe    118 TEXT     'airspace_init()'
 0225b8    116 TEXT     'move_window(FATFS*, unsigned long)'
 02e79a    116 TEXT     'ldexp'
 02e03c    116 TEXT     '__fixsfdi'
 02e730    116 TEXT     'exp'
 02b10c    114 TEXT     'buttons_init()'
 01c348    114 TEXT     'fc_end_hike()'
 02262c    114 TEXT     'check_fs(FATFS*, unsigned long)'
 007f7a    112 TEXT     'widget_compass_heading_draw(unsigned char, unsigned char, unsigned char, unsigned char)'
 0052ac    112 TEXT     'SDCardManager_GetNbBlocks()'
 0115be    112 TEXT     'gui_set_menu_audio_item(unsigned char, char*, unsigned char*, char*)'
